client_id,client_name,country,industry,join_date,subscription_plan
116,Camacho and Sons,Australia,Healthcare,2024-04-04,Basic
117,Lewis-Murphy,Senegal,Education,2026-02-12,Basic
118,Walton-Decker,El Salvador,Education,2025-12-25,Enterprise
119,Smith-Ryan,Zambia,Healthcare,2024-07-11,Basic
120,"Jones, Bernard and Williams",Antarctica (the territory South of 60 deg S),Healthcare,2026-04-29,Premium
121,Combs PLC,Cape Verde,Marketing,2024-03-11,Basic
122,Caldwell-Elliott,Cuba,IT,2024-11-14,Enterprise
123,Wang-Jackson,New Caledonia,Healthcare,2026-05-15,Premium
124,"Wilson, Weiss and Oconnell",Botswana,Healthcare,2025-03-19,Premium
125,Johnston-Odonnell,Honduras,Healthcare,2024-08-31,Enterprise
126,"Gonzalez, Vargas and Rivas",Ecuador,IT,2023-10-13,Enterprise
127,Jefferson-Burke,British Indian Ocean Territory (Chagos Archipelago),IT,2025-11-12,Basic
128,"Patton, Reed and Patterson",Heard Island and McDonald Islands,Healthcare,2023-09-07,Enterprise
129,"Peterson, Atkinson and Short",Botswana,Finance,2024-10-11,Basic
130,Reid-Poole,Russian Federation,Marketing,2023-12-08,Basic
131,Gross Ltd,Faroe Islands,Marketing,2025-04-29,Enterprise
132,"Hampton, Marshall and Petersen",Nauru,Healthcare,2024-04-13,Basic
133,Rivas Inc,Fiji,Healthcare,2026-02-14,Basic
134,Christensen PLC,New Zealand,Finance,2025-06-25,Premium
135,Johnson-Rosales,Cocos (Keeling) Islands,Marketing,2024-12-09,Basic
136,Salinas-Peterson,Turkmenistan,Healthcare,2025-04-07,Enterprise
137,Peters-Black,Comoros,IT,2023-09-25,Basic
138,"Russell, Peters and Allen",Lebanon,Education,2025-05-31,Basic
139,West-Smith,French Polynesia,IT,2024-02-21,Basic
140,"Sanchez, Beck and Wood",Micronesia,Marketing,2025-01-25,Premium
141,Barajas-Pierce,Guinea,Healthcare,2025-08-02,Premium
142,Parker-Hall,Saint Helena,Marketing,2024-01-21,Premium
143,Newton Ltd,Colombia,IT,2024-01-19,Basic
144,"Washington, Hardy and Bray",Malta,Healthcare,2025-04-08,Basic
145,Wall LLC,Denmark,Healthcare,2024-07-23,Premium
146,Smith-Ferguson,Falkland Islands (Malvinas),Healthcare,2023-08-12,Premium
147,Tran Ltd,Western Sahara,Healthcare,2023-11-09,Enterprise
148,Garcia-Smith,Finland,Education,2024-11-19,Enterprise
149,Peterson-Sheppard,El Salvador,Healthcare,2026-04-20,Basic
150,Wilson-Jones,Liechtenstein,Marketing,2023-09-13,Premium
151,"Parks, Hernandez and Shepherd",Yemen,Marketing,2024-05-22,Basic
152,Wilson Group,New Caledonia,Education,2025-04-07,Enterprise
153,"Perez, Mills and Hayes",Kenya,Education,2024-05-14,Basic
154,"Branch, Torres and Oliver",New Zealand,Finance,2026-05-11,Basic
155,Meza and Sons,Niue,IT,2024-02-10,Enterprise
156,"Miller, Allen and Arnold",Cayman Islands,Healthcare,2023-06-26,Enterprise
157,Norris-Harrison,Antigua and Barbuda,Education,2024-03-03,Basic
158,"Campbell, Heath and Jones",Djibouti,IT,2026-04-01,Enterprise
159,"Lawrence, Lara and Gonzalez",Brazil,IT,2025-02-09,Basic
160,"Hernandez, Baker and Thomas",Bahamas,IT,2023-12-22,Enterprise
161,Larson-Holloway,Uruguay,IT,2024-05-05,Enterprise
162,Harrison LLC,Reunion,Marketing,2024-09-07,Premium
163,Mason-Snyder,Belgium,IT,2025-04-09,Enterprise
164,Navarro-Munoz,Anguilla,Marketing,2023-10-02,Enterprise
165,"Huff, Johnston and Sampson",Serbia,Education,2025-06-29,Basic
166,Johnston-Hines,China,Education,2024-11-20,Basic
167,"Ramos, Ramirez and Shea",Jordan,Healthcare,2025-05-19,Enterprise
168,Costa-Harrison,Ireland,Education,2024-06-23,Enterprise
169,"Garcia, Martin and Jenkins",Lithuania,Education,2024-05-04,Premium
170,Cervantes-Pierce,Korea,Finance,2023-09-28,Basic
171,Morris-Cordova,Iraq,Finance,2026-01-26,Basic
172,Sandoval PLC,Kyrgyz Republic,Finance,2024-09-18,Premium
173,Stone PLC,Saudi Arabia,Marketing,2024-12-21,Enterprise
174,Wolf-Harris,Mexico,Finance,2023-11-14,Premium
175,Kim-Wolfe,British Virgin Islands,Finance,2023-07-25,Basic
176,"Lynch, Allen and Moore",Micronesia,IT,2023-07-08,Premium
177,Davis-Gay,United States Minor Outlying Islands,Education,2023-10-26,Enterprise
178,Holland and Sons,Luxembourg,IT,2026-04-11,Basic
179,Hicks-Hill,Syrian Arab Republic,Education,2024-12-03,Basic
180,Sanchez-Arnold,Hungary,Education,2024-01-18,Premium
181,"Romero, Suarez and Shields",Falkland Islands (Malvinas),Marketing,2025-10-17,Premium
182,Morgan-French,Ethiopia,IT,2025-12-09,Basic
183,Barber-Monroe,Mozambique,Finance,2026-06-22,Premium
184,Grimes-Griffin,Liberia,Marketing,2024-07-06,Premium
185,"Hines, Bennett and Cantu",Trinidad and Tobago,Education,2024-01-16,Enterprise
186,"Allen, Reyes and Chase",Isle of Man,Finance,2023-08-10,Enterprise
187,"Kennedy, Mcintyre and James",Panama,Education,2025-11-08,Basic
188,"Pollard, Simpson and Johnson",Macao,Education,2026-05-17,Premium
189,Kane-Sawyer,Kazakhstan,IT,2023-10-11,Basic
190,Smith-Thomas,Trinidad and Tobago,Finance,2025-06-10,Basic
191,Jones LLC,Guadeloupe,IT,2025-05-07,Enterprise
192,Santos-Christian,Timor-Leste,Education,2025-07-02,Basic
193,"James, Stewart and Higgins",Senegal,Finance,2024-12-09,Premium
194,"Johnson, Jones and Welch",Uruguay,Education,2024-05-03,Basic
195,Francis Group,Bolivia,Finance,2025-10-04,Basic
196,"Brennan, Wallace and Benson",United Kingdom,Finance,2023-07-25,Enterprise
197,Flynn-Carter,Holy See (Vatican City State),Healthcare,2024-10-08,Premium
198,Schmidt PLC,Pitcairn Islands,IT,2025-11-08,Basic
199,Thompson PLC,Trinidad and Tobago,Healthcare,2024-08-16,Premium
200,"Allen, Durham and Thomas",Kyrgyz Republic,IT,2025-05-23,Basic
