escrow_id,milestone_id,deposit_amount,deposit_date,release_date,release_status
65,65,2441,2025-08-28,,Pending
66,66,1342,2025-08-07,,Pending
67,67,2515,2026-02-13,,Pending
68,68,108,2025-09-18,2025-10-08,Released
69,69,1810,2025-07-25,,Pending
70,70,1483,2025-10-05,,Pending
71,71,667,2025-09-21,,Held
72,72,2832,2025-12-14,,Pending
73,73,1686,2025-11-22,2025-12-10,Released
74,74,2315,2025-08-14,,Released
75,75,1236,2026-07-26,,Held
76,76,2398,2025-08-15,,Held
77,77,316,2026-05-22,,Held
78,78,2158,2025-08-27,,Released
79,79,2990,2026-01-11,,Held
80,80,1412,2026-08-11,,Pending
81,81,1890,2026-06-09,2026-06-24,Released
82,82,1664,2026-01-19,,Pending
83,83,467,2026-04-15,2026-04-28,Released
84,84,2879,2026-05-13,,Released
85,85,1697,2025-10-18,,Released
86,86,1427,2026-02-07,,Pending
87,87,929,2026-02-09,2026-02-15,Released
88,88,2183,2025-11-29,,Held
89,89,348,2026-04-03,,Pending
90,90,368,2025-07-08,,Pending
91,91,2865,2026-05-25,2026-06-17,Released
92,92,614,2026-01-02,,Pending
93,93,2149,2026-03-08,2026-04-02,Released
94,94,2313,2025-12-21,2026-01-06,Released
95,95,2373,2025-11-02,,Pending
96,96,2075,2025-11-13,,Pending
97,97,1539,2026-02-06,,Held
98,98,286,2026-07-14,2026-07-28,Released
99,99,1331,2025-09-30,2025-10-07,Released
100,100,2379,2025-06-21,,Pending
101,101,2167,2025-08-03,,Pending
102,102,2998,2026-06-17,,Pending
103,103,1499,2026-07-28,2026-08-12,Released
104,104,165,2025-09-05,,Held
105,105,1792,2026-02-13,,Held
106,106,1708,2026-03-16,,Held
107,107,2853,2025-08-26,2025-09-14,Released
108,108,2562,2026-05-11,,Pending
109,109,611,2025-11-11,,Pending
110,110,138,2026-03-26,2026-04-14,Released
111,111,884,2026-01-06,2026-01-22,Released
112,112,1005,2026-04-22,2026-05-06,Released
113,113,250,2026-06-26,,Pending
114,114,956,2025-11-22,2025-12-16,Released
115,115,554,2025-10-13,,Pending
116,116,798,2026-03-09,,Held
117,117,2853,2025-08-13,,Held
118,118,2509,2025-08-23,2025-08-30,Released
119,119,2434,2026-05-23,2026-06-05,Released
120,120,885,2025-11-03,,Held
121,121,108,2026-03-08,,Pending
122,122,1423,2026-02-11,,Pending
123,123,1222,2026-06-09,,Released
124,124,2129,2025-07-13,,Pending
125,125,292,2025-08-21,,Pending
126,126,1395,2025-09-18,2025-10-07,Released
127,127,435,2025-10-25,,Held
128,128,404,2025-10-15,2025-11-02,Released
129,129,1373,2025-10-04,,Released
130,130,2065,2026-03-14,,Pending
131,131,1469,2025-10-06,,Pending
132,132,1076,2025-12-19,,Pending
133,133,398,2026-06-15,,Held
134,134,1928,2025-11-14,,Held
135,135,622,2026-02-18,2026-02-25,Released
136,136,324,2026-07-29,,Pending
137,137,2875,2025-12-06,2025-12-14,Released
138,138,1662,2025-08-30,,Pending
139,139,143,2025-06-22,,Pending
140,140,2640,2026-04-19,,Held
141,141,542,2026-03-22,2026-04-02,Released
142,142,1149,2026-07-18,,Pending
143,143,1921,2026-04-07,2026-05-01,Released
144,144,622,2025-07-17,,Pending
145,145,1374,2025-08-23,,Held
146,146,2023,2025-07-26,,Pending
147,147,1610,2025-07-10,,Released
148,148,334,2026-06-22,2026-07-01,Released
149,149,1828,2026-02-01,,Pending
150,150,380,2025-06-24,,Pending
151,151,2945,2025-11-29,,Held
152,152,2469,2026-05-04,,Held
153,153,1814,2025-07-18,,Pending
154,154,272,2025-10-02,,Pending
155,155,1013,2025-08-18,,Held
156,156,1079,2026-03-18,,Pending
157,157,1639,2026-06-25,,Released
158,158,140,2025-10-22,,Released
159,159,683,2025-09-26,,Pending
160,160,1574,2025-10-12,2025-11-04,Released
161,161,813,2026-03-06,2026-03-20,Released
162,162,1491,2025-08-07,,Held
163,163,821,2026-06-05,,Pending
164,164,1652,2025-06-25,,Held
165,165,961,2026-03-22,,Pending
166,166,1625,2026-06-14,,Held
167,167,367,2025-10-29,2025-11-16,Released
168,168,2944,2026-01-01,,Pending
169,169,2705,2026-08-02,,Released
170,170,874,2026-01-29,,Held
171,171,1112,2025-10-07,2025-10-22,Released
172,172,2492,2025-12-19,,Pending
173,173,2817,2026-07-31,,Held
174,174,2142,2026-04-06,,Held
175,175,1631,2025-08-27,,Held
176,176,2040,2026-02-22,,Pending
177,177,2761,2026-03-08,2026-03-31,Released
178,178,1060,2026-03-10,,Pending
179,179,1644,2026-02-08,,Held
180,180,1142,2026-01-21,,Held
181,181,1042,2026-03-12,,Held
182,182,2015,2025-10-22,,Pending
183,183,1398,2025-11-07,,Pending
184,184,1057,2026-01-28,,Pending
185,185,437,2026-05-21,,Pending
186,186,420,2025-12-18,,Pending
187,187,392,2025-11-15,,Pending
188,188,1124,2025-10-01,,Pending
189,189,880,2025-10-20,,Held
190,190,1169,2025-06-13,2025-07-05,Released
191,191,1754,2026-05-26,,Pending
192,192,2033,2026-06-09,,Held
193,193,1032,2025-11-06,2025-11-23,Released
194,194,1057,2025-12-29,,Held
195,195,1989,2025-06-16,,Pending
196,196,869,2026-07-10,,Pending
197,197,958,2026-07-21,,Pending
198,198,1634,2026-01-02,2026-01-07,Released
199,199,139,2025-06-16,,Pending
200,200,1023,2025-12-13,,Pending
201,201,2928,2025-10-15,,Held
202,202,2424,2025-09-19,2025-09-24,Released
203,203,2427,2025-06-16,,Held
204,204,1661,2025-11-19,2025-12-06,Released
205,205,1682,2025-12-05,2025-12-27,Released
206,206,2432,2026-02-06,,Pending
207,207,481,2025-11-28,,Released
208,208,2101,2025-08-21,2025-09-14,Released
209,209,1262,2026-04-23,,Released
210,210,386,2025-11-26,,Pending
211,211,1701,2025-11-21,,Released
212,212,2058,2025-10-03,,Held
213,213,2822,2025-12-09,,Pending
214,214,2506,2025-09-23,2025-10-07,Released
215,215,1228,2026-05-04,,Released
216,216,2577,2026-07-05,,Released
217,217,1984,2026-05-23,,Pending
218,218,1279,2026-03-31,,Held
219,219,1520,2025-10-12,,Held
220,220,2610,2026-04-25,,Released
221,221,1869,2026-05-23,,Pending
222,222,2961,2025-12-05,,Held
223,223,1295,2026-06-11,,Held
224,224,2121,2025-08-29,,Pending
225,225,1610,2025-10-14,2025-10-22,Released
226,226,1779,2026-03-11,,Pending
227,227,282,2026-03-03,,Pending
228,228,1735,2025-10-06,,Released
229,229,569,2026-03-05,,Held
230,230,2845,2025-08-31,,Held
231,231,379,2025-06-21,,Released
232,232,674,2025-07-04,,Pending
233,233,173,2026-01-26,,Held
234,234,789,2025-08-31,,Released
235,235,728,2025-07-26,,Pending
236,236,2864,2025-10-05,,Held
237,237,2700,2026-04-13,,Held
238,238,1699,2026-04-18,,Held
239,239,119,2025-09-20,2025-10-14,Released
240,240,1634,2025-08-16,2025-08-28,Released
241,241,214,2026-01-09,2026-01-27,Released
242,242,1003,2025-11-05,2025-11-12,Released
243,243,280,2025-10-23,,Pending
244,244,1421,2026-05-19,,Held
245,245,2318,2026-08-12,,Pending
246,246,975,2025-12-27,2026-01-08,Released
247,247,1747,2026-05-16,,Held
248,248,1001,2025-10-31,2025-11-19,Released
249,249,2762,2026-06-07,,Held
250,250,1783,2026-07-23,,Pending
251,251,517,2025-07-06,,Held
252,252,488,2026-05-09,,Held
253,253,2876,2025-07-13,,Held
254,254,172,2025-12-30,,Held
255,255,1666,2025-09-02,,Held
256,256,2506,2026-06-06,,Held
257,257,608,2026-05-27,,Pending
258,258,1097,2026-05-31,,Held
259,259,927,2025-08-03,,Released
260,260,2549,2026-05-06,,Pending
261,261,649,2025-09-27,,Pending
262,262,1799,2026-05-07,,Held
263,263,1456,2025-12-18,,Pending
264,264,2823,2026-04-23,2026-04-29,Released
265,265,2590,2025-06-27,,Pending
266,266,2679,2025-12-26,2026-01-14,Released
267,267,936,2026-05-07,2026-05-16,Released
268,268,2013,2026-01-21,,Pending
269,269,1836,2026-08-05,2026-08-17,Released
270,270,2461,2025-12-31,,Pending
271,271,2070,2026-03-30,2026-04-12,Released
272,272,1731,2025-10-23,,Pending
273,273,1831,2025-10-28,,Held
274,274,181,2026-03-08,,Pending
275,275,2537,2025-06-30,,Held
276,276,1153,2026-07-17,,Pending
277,277,1260,2026-01-20,,Pending
278,278,659,2025-09-28,,Held
279,279,117,2026-03-12,2026-03-23,Released
280,280,2112,2025-09-05,,Pending
281,281,1628,2026-06-26,,Pending
282,282,1774,2026-06-15,2026-06-22,Released
283,283,2416,2025-09-13,2025-09-30,Released
284,284,1145,2025-07-31,,Held
285,285,2700,2026-03-09,,Held
286,286,1678,2025-10-29,,Pending
287,287,241,2025-08-23,,Pending
288,288,2956,2025-10-08,,Held
289,289,2579,2025-08-02,,Pending
290,290,1113,2026-05-15,,Held
291,291,150,2025-06-16,2025-06-26,Released
292,292,1728,2025-06-30,,Held
293,293,1832,2026-05-12,2026-05-23,Released
294,294,2933,2026-01-01,,Pending
295,295,2500,2026-02-21,,Pending
296,296,2705,2025-11-18,,Held
297,297,684,2025-07-21,,Pending
298,298,2963,2025-08-19,,Pending
299,299,2952,2025-07-21,,Pending
300,300,1865,2026-03-03,2026-03-17,Released
301,301,911,2026-07-14,,Pending
302,302,2422,2026-08-11,2026-08-30,Released
303,303,885,2026-03-06,,Pending
304,304,2667,2025-07-08,,Held
305,305,610,2026-03-14,,Pending
306,306,138,2026-04-07,2026-04-15,Released
307,307,271,2026-05-16,2026-06-08,Released
308,308,2569,2025-08-05,,Held
309,309,2090,2025-09-20,,Pending
310,310,1478,2026-08-05,,Pending
311,311,1081,2026-05-14,,Pending
312,312,2601,2026-05-01,,Released
313,313,510,2026-05-22,,Released
314,314,668,2025-12-16,2026-01-02,Released
315,315,2964,2025-09-03,,Released
316,316,2209,2026-04-02,,Pending
317,317,1419,2025-11-12,2025-12-07,Released
318,318,2876,2025-08-09,,Pending
319,319,1739,2026-06-30,,Held
320,320,1852,2026-01-05,,Pending
321,321,1676,2025-12-16,,Pending
322,322,2230,2025-10-16,,Held
323,323,623,2026-04-05,,Pending
324,324,2856,2025-09-01,,Held
325,325,788,2025-08-31,,Pending
326,326,2814,2025-11-08,,Held
327,327,2802,2026-04-21,,Held
328,328,1248,2025-10-08,,Released
329,329,2846,2026-06-02,2026-06-22,Released
330,330,2115,2026-07-07,2026-08-01,Released
331,331,1016,2026-02-04,,Held
332,332,1505,2025-07-12,,Pending
333,333,2778,2025-08-18,,Held
334,334,1055,2025-10-16,,Released
335,335,459,2025-10-03,,Released
336,336,621,2025-11-16,,Pending
337,337,1373,2025-06-13,2025-06-18,Released
338,338,1835,2026-03-11,,Pending
339,339,2228,2025-11-21,,Held
340,340,1719,2025-08-31,2025-09-08,Released
341,341,1394,2025-06-20,,Released
342,342,2885,2026-06-13,,Pending
343,343,1365,2026-05-09,,Held
344,344,2993,2025-09-22,,Held
345,345,1293,2026-04-16,,Held
346,346,725,2026-03-20,,Held
347,347,2968,2026-01-28,,Held
348,348,2800,2025-11-25,,Released
349,349,1482,2026-01-22,,Pending
350,350,1703,2026-01-10,,Pending
351,351,1712,2026-02-02,2026-02-24,Released
352,352,2464,2026-03-01,2026-03-11,Released
353,353,1292,2025-10-28,,Released
354,354,137,2026-03-13,,Pending
355,355,2878,2025-07-30,2025-08-07,Released
356,356,2883,2026-01-21,,Released
357,357,2040,2025-07-11,2025-07-27,Released
358,358,2762,2026-06-03,,Pending
359,359,1103,2025-08-07,2025-08-24,Released
360,360,806,2026-06-20,,Held
361,361,1999,2025-09-07,,Held
362,362,1604,2026-01-05,2026-01-24,Released
363,363,1021,2025-07-25,2025-08-15,Released
364,364,1221,2026-02-11,,Held
365,365,1672,2026-06-04,,Pending
366,366,1322,2026-03-20,,Held
367,367,1712,2026-01-22,,Held
368,368,361,2026-04-07,,Held
369,369,608,2025-09-30,2025-10-25,Released
370,370,2553,2025-11-16,,Held
371,371,1387,2026-02-26,,Released
372,372,243,2025-07-13,2025-07-26,Released
373,373,1589,2026-07-14,,Held
374,374,1117,2025-09-09,,Pending
375,375,672,2026-01-08,,Held
376,376,2582,2026-06-27,,Held
377,377,2814,2025-07-17,2025-07-25,Released
378,378,1327,2026-05-20,2026-05-29,Released
379,379,984,2025-07-08,,Held
380,380,1828,2026-02-05,2026-03-01,Released
381,381,1663,2026-07-17,,Held
382,382,1968,2025-12-07,,Released
383,383,2944,2025-11-17,,Released
384,384,1203,2026-04-10,,Held
385,385,2408,2026-05-29,,Held
386,386,771,2025-10-04,,Pending
387,387,1876,2025-06-30,,Pending
388,388,2901,2025-07-12,,Held
389,389,2722,2025-10-20,,Released
390,390,1219,2026-07-20,,Released
391,391,140,2026-07-27,,Released
392,392,530,2025-07-24,2025-08-10,Released
393,393,2511,2026-04-17,,Pending
394,394,296,2026-01-25,2026-02-02,Released
395,395,840,2025-09-01,,Pending
396,396,2359,2026-01-23,,Held
397,397,2053,2025-09-26,,Held
398,398,316,2026-03-06,,Held
399,399,2997,2025-08-28,,Released
400,400,2994,2026-04-28,,Pending
401,401,2019,2025-12-06,,Held
402,402,1350,2025-07-27,,Held
403,403,1765,2026-03-12,,Pending
404,404,414,2025-11-12,,Held
405,405,2456,2025-12-25,2026-01-04,Released
406,406,658,2026-03-23,,Pending
407,407,2958,2026-06-24,2026-07-16,Released
408,408,129,2025-08-23,,Held
409,409,1100,2025-08-28,,Held
410,410,273,2025-12-01,,Held
411,411,1021,2025-11-03,2025-11-24,Released
412,412,2129,2025-08-19,,Pending
413,413,2881,2026-08-12,2026-08-27,Released
414,414,1325,2025-12-18,,Pending
415,415,2429,2025-11-10,,Pending
416,416,2733,2025-10-25,,Held
417,417,2630,2026-08-09,,Pending
418,418,538,2025-10-29,,Released
419,419,1746,2025-11-18,,Pending
420,420,2206,2026-05-04,2026-05-25,Released
421,421,128,2025-12-13,,Released
422,422,1719,2026-04-18,,Pending
423,423,846,2026-02-27,,Held
424,424,2788,2026-02-07,,Pending
425,425,1877,2025-09-12,,Released
426,426,876,2026-05-05,,Pending
427,427,2828,2026-07-12,2026-07-22,Released
428,428,586,2025-09-29,,Pending
429,429,2892,2026-07-27,,Held
430,430,186,2025-12-20,2025-12-28,Released
431,431,313,2025-11-29,,Held
432,432,2545,2026-04-18,,Held
433,433,438,2026-08-05,,Pending
434,434,865,2026-02-21,2026-03-14,Released
435,435,2971,2026-01-19,2026-02-01,Released
436,436,2993,2026-08-10,2026-08-30,Released
437,437,842,2025-10-19,2025-11-12,Released
438,438,2698,2025-10-18,2025-11-12,Released
439,439,257,2025-09-15,,Pending
440,440,172,2026-06-12,,Held
441,441,1768,2025-06-22,,Held
442,442,1008,2026-05-29,,Pending
443,443,2737,2026-04-02,2026-04-20,Released
444,444,1589,2025-10-08,,Pending
445,445,1111,2026-02-03,,Pending
446,446,313,2026-02-04,,Held
447,447,2033,2026-07-12,,Pending
448,448,857,2025-08-17,,Pending
449,449,1346,2025-06-29,,Released
450,450,2512,2025-11-11,,Held
451,451,1230,2025-08-10,2025-09-04,Released
452,452,634,2025-11-16,,Held
453,453,2780,2026-02-15,2026-03-10,Released
454,454,504,2025-09-20,,Released
455,455,1334,2026-05-24,,Held
456,456,279,2025-07-22,2025-07-31,Released
457,457,2395,2025-11-30,,Pending
458,458,2679,2026-07-09,,Held
459,459,783,2026-04-21,,Held
460,460,286,2026-04-17,,Held
461,461,2203,2026-05-16,2026-06-07,Released
462,462,2403,2025-08-25,,Pending
463,463,947,2026-05-30,,Released
464,464,2163,2026-04-02,,Held
465,465,1342,2026-02-13,,Released
466,466,2361,2026-07-04,,Released
467,467,1295,2026-02-21,2026-03-05,Released
468,468,644,2025-10-18,,Pending
469,469,1119,2026-04-20,2026-05-15,Released
470,470,2691,2026-02-13,,Held
471,471,440,2025-07-16,,Held
472,472,647,2025-07-06,,Pending
473,473,334,2026-05-07,,Held
474,474,998,2025-11-08,,Held
475,475,164,2026-05-27,,Held
476,476,2918,2025-12-07,,Pending
477,477,2575,2026-06-17,,Held
478,478,1003,2026-06-18,,Pending
479,479,1719,2025-09-17,2025-10-12,Released
480,480,1609,2026-03-18,2026-04-05,Released
481,481,843,2026-02-24,,Pending
482,482,2433,2025-06-17,,Pending
483,483,1255,2026-05-10,2026-06-04,Released
484,484,2915,2025-11-22,,Held
485,485,1846,2025-10-20,2025-10-27,Released
486,486,510,2025-06-30,,Held
487,487,508,2026-01-29,,Pending
488,488,2739,2025-08-15,2025-08-20,Released
489,489,155,2026-01-13,2026-02-06,Released
490,490,1486,2025-09-15,,Held
491,491,768,2025-07-04,,Pending
492,492,2326,2026-04-20,,Held
493,493,186,2025-11-27,2025-12-05,Released
494,494,680,2025-12-19,,Released
495,495,1678,2026-02-21,2026-03-11,Released
496,496,1025,2026-01-14,,Held
497,497,2114,2025-09-15,2025-09-23,Released
498,498,1563,2025-10-14,2025-10-28,Released
499,499,447,2025-11-27,2025-12-13,Released
500,500,2272,2025-08-08,,Pending
501,501,715,2025-07-18,,Held
502,502,1526,2026-02-11,2026-02-25,Released
503,503,2810,2025-07-04,,Pending
504,504,108,2025-11-30,2025-12-07,Released
505,505,705,2025-07-19,,Pending
506,506,2466,2026-01-12,,Pending
507,507,692,2026-05-08,,Released
508,508,1677,2025-08-07,,Pending
509,509,2071,2025-08-09,,Held
510,510,666,2026-02-06,,Held
511,511,1814,2026-01-06,,Held
512,512,2281,2026-03-17,,Held
513,513,442,2025-09-04,,Held
514,514,2940,2026-03-02,,Held
515,515,111,2026-04-22,2026-05-08,Released
516,516,2387,2025-09-25,,Pending
517,517,1530,2025-07-13,,Pending
518,518,1985,2026-05-09,,Released
519,519,1093,2025-10-28,2025-11-15,Released
520,520,580,2026-07-11,,Held
521,521,2951,2025-07-21,,Pending
522,522,2814,2026-03-26,,Held
523,523,678,2025-12-10,,Released
524,524,1805,2025-11-08,2025-12-01,Released
525,525,2260,2025-10-27,,Held
526,526,1785,2026-02-20,,Held
527,527,1274,2025-06-23,2025-06-28,Released
528,528,2574,2025-10-20,2025-10-26,Released
529,529,1835,2026-08-07,,Held
530,530,2369,2026-03-02,,Held
531,531,1353,2026-08-08,,Held
532,532,476,2025-12-18,,Held
533,533,1740,2025-08-14,,Held
534,534,2055,2025-07-02,,Pending
535,535,775,2026-05-27,,Released
536,536,897,2025-09-06,,Pending
537,537,214,2025-11-19,,Released
538,538,367,2026-05-01,2026-05-09,Released
539,539,926,2026-06-11,,Held
540,540,448,2025-07-30,,Held
541,541,287,2025-07-06,2025-07-26,Released
542,542,134,2026-07-22,,Pending
543,543,1388,2026-07-12,,Pending
544,544,1457,2026-06-18,,Pending
545,545,2156,2026-05-28,2026-06-05,Released
546,546,760,2025-06-18,2025-07-02,Released
547,547,1048,2026-04-04,2026-04-11,Released
548,548,759,2025-07-30,,Held
549,549,2768,2025-12-21,,Held
550,550,637,2025-06-22,,Pending
551,551,263,2025-09-10,,Held
552,552,1079,2026-01-28,,Released
553,553,724,2025-09-07,,Held
554,554,684,2026-01-21,,Pending
555,555,485,2025-10-01,,Pending
556,556,761,2026-01-04,,Released
557,557,1547,2026-04-19,,Released
558,558,2763,2025-08-12,,Released
559,559,262,2026-04-06,,Pending
560,560,1775,2025-06-20,,Held
561,561,1602,2026-02-16,,Held
562,562,441,2026-03-22,,Held
563,563,1176,2025-07-01,,Held
564,564,733,2025-08-24,2025-08-29,Released
565,565,1735,2025-10-11,2025-11-03,Released
566,566,1529,2026-05-15,,Pending
567,567,546,2026-03-03,2026-03-22,Released
568,568,1874,2025-07-05,2025-07-22,Released
569,569,1502,2026-03-18,,Held
570,570,568,2025-06-16,,Pending
571,571,2024,2025-11-25,2025-12-04,Released
572,572,2427,2025-10-06,,Released
573,573,355,2026-06-10,,Pending
574,574,974,2026-03-21,,Released
575,575,1205,2026-06-16,,Pending
576,576,383,2025-06-21,,Pending
577,577,1949,2026-06-17,,Pending
578,578,853,2026-03-16,,Released
579,579,1530,2025-09-19,,Pending
580,580,2953,2025-11-22,,Pending
581,581,1693,2026-08-03,2026-08-26,Released
582,582,418,2025-07-25,,Held
583,583,2820,2025-10-25,,Held
584,584,158,2026-06-17,2026-07-02,Released
585,585,1396,2026-01-25,2026-02-14,Released
586,586,1176,2025-08-31,,Held
587,587,614,2026-01-12,,Held
588,588,995,2025-12-25,,Held
589,589,2952,2026-07-12,,Held
590,590,985,2025-06-22,,Pending
591,591,158,2025-09-26,,Pending
592,592,1357,2026-01-24,,Held
593,593,2757,2025-11-02,,Pending
594,594,1542,2025-11-27,,Held
595,595,564,2025-08-18,,Released
596,596,2536,2025-11-07,2025-11-29,Released
597,597,1267,2025-11-09,,Held
598,598,2697,2026-03-06,,Pending
599,599,525,2025-09-21,2025-09-28,Released
600,600,524,2026-08-03,,Pending
601,601,508,2026-01-12,,Held
602,602,2834,2026-05-24,,Pending
603,603,1962,2026-03-06,,Held
604,604,609,2026-06-22,,Pending
605,605,2741,2026-06-27,,Held
606,606,131,2026-05-26,,Pending
607,607,1196,2025-06-25,,Held
608,608,2857,2026-02-04,,Released
609,609,2225,2025-10-10,,Held
610,610,798,2025-08-16,,Held
611,611,1703,2026-06-30,2026-07-22,Released
612,612,1857,2026-03-19,2026-04-11,Released
613,613,811,2025-07-20,,Pending
614,614,1891,2025-11-22,2025-12-02,Released
615,615,2669,2026-07-27,,Pending
616,616,934,2026-02-28,,Released
617,617,2998,2026-03-06,,Held
618,618,1666,2025-09-17,2025-10-10,Released
619,619,2698,2025-09-23,,Held
620,620,2772,2025-08-17,2025-08-29,Released
621,621,1648,2026-07-31,,Pending
622,622,2669,2026-07-05,2026-07-14,Released
623,623,554,2025-10-31,,Pending
624,624,680,2026-01-29,,Pending
625,625,416,2025-09-09,,Pending
626,626,512,2025-08-11,,Pending
627,627,401,2026-01-29,,Pending
628,628,2915,2026-05-19,,Pending
629,629,759,2026-06-15,2026-07-04,Released
630,630,2685,2025-10-22,,Held
631,631,1520,2026-04-09,,Pending
632,632,120,2026-01-22,2026-02-13,Released
633,633,2582,2025-08-09,2025-08-20,Released
634,634,724,2026-08-11,2026-09-01,Released
635,635,220,2026-08-02,,Pending
636,636,916,2025-08-13,,Released
637,637,2013,2026-07-15,,Held
638,638,2199,2026-07-08,,Pending
639,639,808,2025-10-26,,Released
640,640,1709,2026-02-05,2026-02-18,Released
641,641,778,2026-07-22,2026-08-05,Released
642,642,1927,2025-08-02,,Pending
643,643,1405,2025-10-26,,Held
644,644,1631,2026-06-22,,Held
645,645,785,2026-04-18,,Released
646,646,1302,2026-05-05,,Held
647,647,1542,2026-06-22,,Pending
648,648,1104,2025-12-06,2025-12-22,Released
649,649,1623,2025-12-05,,Released
650,650,2919,2025-12-18,2026-01-02,Released
651,651,2424,2026-07-15,,Pending
652,652,1679,2026-06-28,,Pending
653,653,2397,2026-07-15,,Pending
654,654,2450,2025-10-07,,Held
655,655,1401,2026-05-10,,Pending
656,656,2142,2025-07-28,2025-08-17,Released
657,657,588,2025-08-30,,Released
658,658,2521,2026-05-03,,Pending
659,659,173,2026-02-28,,Held
660,660,1991,2025-10-04,,Pending
661,661,1481,2026-02-09,,Held
662,662,1225,2025-09-19,,Pending
663,663,1382,2025-09-19,,Pending
664,664,1322,2026-04-01,,Held
665,665,2725,2025-11-13,,Released
666,666,219,2026-04-02,2026-04-10,Released
667,667,1027,2026-01-02,2026-01-20,Released
668,668,296,2026-01-12,,Pending
669,669,664,2026-02-25,,Held
670,670,706,2026-04-12,,Held
671,671,2708,2025-11-19,,Pending
672,672,2467,2026-06-11,,Pending
673,673,1418,2026-01-08,,Held
674,674,1313,2025-08-10,,Held
675,675,2125,2025-09-03,2025-09-10,Released
676,676,2017,2025-06-26,,Pending
677,677,954,2026-05-04,,Held
678,678,1377,2025-06-19,,Held
679,679,532,2025-10-05,2025-10-26,Released
680,680,1953,2025-12-05,,Held
681,681,869,2026-04-25,,Released
682,682,2464,2026-08-07,,Held
683,683,866,2026-05-01,,Pending
684,684,444,2025-07-11,,Pending
685,685,2156,2026-07-12,,Pending
686,686,1216,2026-08-06,,Pending
687,687,875,2026-06-17,,Pending
688,688,2121,2026-01-07,,Held
689,689,2747,2025-10-29,2025-11-04,Released
690,690,317,2025-12-24,2026-01-01,Released
691,691,2279,2025-09-26,2025-10-03,Released
692,692,1705,2025-12-02,,Pending
693,693,1523,2025-06-30,,Held
694,694,112,2026-04-22,2026-05-06,Released
695,695,2052,2025-11-22,,Held
696,696,797,2025-10-24,,Pending
697,697,1964,2026-02-28,2026-03-15,Released
698,698,1852,2026-04-25,,Pending
699,699,1542,2026-02-20,,Pending
700,700,548,2026-01-22,2026-02-11,Released
701,701,1035,2026-06-21,,Held
702,702,509,2026-05-14,,Pending
703,703,1953,2026-01-20,,Pending
704,704,2817,2025-12-22,,Pending
705,705,155,2026-05-31,,Pending
706,706,2221,2025-07-01,,Held
707,707,561,2026-08-11,,Pending
708,708,184,2026-01-19,2026-02-13,Released
709,709,1563,2025-11-28,,Pending
710,710,893,2026-04-22,,Pending
711,711,2667,2026-02-05,,Held
712,712,1186,2026-01-18,,Held
713,713,1701,2026-03-08,,Held
714,714,1366,2025-07-03,,Released
715,715,1963,2025-10-15,,Held
716,716,551,2025-11-29,,Released
717,717,2010,2025-10-20,,Held
